review_id,platform,business_category,business_name,rating,review_text,sentiment,topics
R001,google,restaurant,The Golden Fork,5,"Absolutely amazing experience! The steak was cooked to perfection and the staff were incredibly attentive. Will definitely come back!",positive,"food,service"
R002,yelp,restaurant,The Golden Fork,2,"Waited over an hour for our food. When it finally arrived, the pasta was cold and bland. Very disappointing for the price.",negative,"food,service,wait_time"
R003,google,cafe,Sunrise Cafe,5,"Best coffee in town! The barista remembered my order from last week. Cozy atmosphere and great pastries.",positive,"food,service,ambiance"
R004,yelp,cafe,Sunrise Cafe,1,"The coffee was lukewarm and the croissant was stale. Staff seemed uninterested in helping. Won't be returning.",negative,"food,service"
R005,google,restaurant,Pasta Palace,4,"Really good authentic Italian food. The carbonara was rich and creamy. Service was a little slow but the food made up for it.",positive,"food,service"
R006,yelp,restaurant,Spice Garden,5,"The curry here is the best I've ever had! Authentic flavors and generous portions. The staff explained every dish perfectly.",positive,"food,service"
R007,google,restaurant,Spice Garden,3,"Food was decent but nothing special. Expected more from the glowing reviews. Service was fine.",neutral,"food,service"
R008,yelp,bar,The Rusty Nail,4,"Great craft beer selection and the nachos were perfect bar food. Lively atmosphere on weekends.",positive,"food,ambiance"
R009,google,bar,The Rusty Nail,2,"Overpriced drinks and rude bartender. Had to wait ages just to get a refill. The music was way too loud to have a conversation.",negative,"service,ambiance,pricing"
R010,yelp,restaurant,Ocean Breeze,5,"Fresh seafood, stunning ocean view, and exceptional service. Our anniversary dinner was perfect. Thank you!",positive,"food,service,ambiance"
R011,google,restaurant,Ocean Breeze,3,"The lobster bisque was excellent but the mains were mediocre. Nice setting though.",neutral,"food,ambiance"
R012,yelp,fastfood,Burger Barn,5,"Hands down the best burger joint in the city. The double smash burger is life-changing. Always fresh and hot.",positive,"food"
R013,google,fastfood,Burger Barn,1,"They got my order completely wrong and refused to fix it. The fries were soggy and cold. Terrible experience.",negative,"food,service"
R014,yelp,restaurant,Casa Mexicana,5,"Vibrant atmosphere and incredible tacos! The salsa bar is a genius touch. Staff were friendly and fun.",positive,"food,service,ambiance"
R015,google,restaurant,Casa Mexicana,2,"Portion sizes have shrunk dramatically. We used to love this place but the quality has dropped significantly.",negative,"food,pricing"
R016,yelp,cafe,The Bean & Leaf,4,"Fantastic tea selection and the avocado toast is Instagram-worthy and delicious. Quiet spot for working.",positive,"food,ambiance"
R017,google,cafe,The Bean & Leaf,3,"Good but pricey. $8 for a small latte feels steep. Atmosphere is nice though.",neutral,"food,pricing,ambiance"
R018,yelp,restaurant,Sakura Japanese,5,"Best sushi I've had outside of Japan. The omakase was phenomenal. Chef came out to explain each course.",positive,"food,service"
R019,google,restaurant,Sakura Japanese,4,"Very good quality sushi. Reservations are a must as it gets busy. Worth every penny.",positive,"food"
R020,yelp,restaurant,Sakura Japanese,1,"Found a hair in my miso soup. When I told the waiter, they just shrugged. Absolutely unacceptable.",negative,"food,service,hygiene"
R021,google,restaurant,The Farmhouse,5,"Farm-to-table done right. Everything was so fresh and the menu changes seasonally. Love supporting local farmers.",positive,"food"
R022,yelp,restaurant,The Farmhouse,4,"Beautiful rustic setting and wonderful food. The roast chicken was perfectly seasoned. Prices are fair for the quality.",positive,"food,ambiance,pricing"
R023,google,pizzeria,Luigi's Pizza,5,"Best New York style pizza outside NYC! Thin crust, generous toppings, and quick service. A neighborhood gem.",positive,"food,service"
R024,yelp,pizzeria,Luigi's Pizza,2,"Waited 45 minutes for a takeout order that was supposed to be 20 minutes. Pizza was average at best.",negative,"food,wait_time"
R025,google,restaurant,Green Bowl,5,"Love this healthy bowl place! The build-your-own option is great and everything tastes fresh. Staff are always so cheerful.",positive,"food,service"
R026,yelp,restaurant,Green Bowl,3,"Food is healthy but bland. Needs more seasoning options. Good for a quick lunch but nothing exciting.",neutral,"food"
R027,google,bakery,Morning Glory Bakery,5,"The sourdough bread here is absolutely divine. Always fresh out of the oven in the morning. The cinnamon rolls are heavenly!",positive,"food"
R028,yelp,bakery,Morning Glory Bakery,4,"Great baked goods but they sell out of the popular items very early. Get there before 9am for the best selection.",positive,"food"
R029,google,restaurant,The Steakhouse,5,"Impeccable service from start to finish. The ribeye was perfectly cooked medium-rare. Excellent wine list too.",positive,"food,service"
R030,yelp,restaurant,The Steakhouse,3,"Good steak but extremely overpriced. $80 for a steak that wasn't exceptional. Nice atmosphere though.",neutral,"food,pricing,ambiance"
R031,google,restaurant,Noodle House,5,"Authentic and delicious! The ramen broth is simmered for hours and you can taste it. Best noodles in town.",positive,"food"
R032,yelp,restaurant,Noodle House,4,"Really good ramen. The pork belly add-on is worth it. Gets packed during lunch so arrive early.",positive,"food"
R033,google,cafe,Cozy Cup,2,"Terrible WiFi despite advertising as a work-friendly cafe. Coffee was mediocre. Seating is uncomfortable.",negative,"ambiance,service"
R034,yelp,cafe,Cozy Cup,5,"My favorite cafe for remote work! Reliable WiFi, great coffee, and the staff never make you feel rushed.",positive,"ambiance,service,food"
R035,google,restaurant,Dim Sum Palace,5,"Outstanding dim sum! The har gow and siu mai are the best I've ever had. Authentic and generous portions.",positive,"food"
R036,yelp,restaurant,Dim Sum Palace,3,"Hit or miss. Some dishes were excellent, others were mediocre. The service was chaotic during peak hours.",neutral,"food,service"
R037,google,restaurant,Vegan Vibes,5,"Finally a vegan restaurant where the food actually tastes amazing! The jackfruit tacos are incredible. Even my non-vegan friends loved it.",positive,"food"
R038,yelp,restaurant,Vegan Vibes,2,"Overpriced for very small portions. The food was ok but not worth the cost. Disappointing.",negative,"food,pricing"
R039,google,bar,Sports Bar Central,4,"Great place to watch the game! Multiple screens, good beer selection, and the wings are awesome.",positive,"food,ambiance"
R040,yelp,bar,Sports Bar Central,2,"Sticky tables, slow service, and overpriced beers. The wings were dry and overcooked.",negative,"food,service,ambiance"
