order_id,timestamp,menu_category,order_price,delivery_distance_km,wait_time_minutes,rating,review_text,promo_applied,complaint_level,order_status,sentiment
ORD-2024-000001,2024-03-22 13:15:14,Kopi,9000,,27,4.0,Sesuai pesanan,False,none,completed,positive
ORD-2024-000004,2024-01-26 22:34:26,Kopi,13500,2.34,20,5.0,Mantap gan!,False,none,completed,positive
ORD-2024-000005,2024-03-16 11:48:51,Ayam,47500,0.95,27,4.0,Top bgt kualitasnya,True,low,completed,positive
ORD-2024-000006,2024-02-24 12:13:48,Ayam,59500,3.45,13,5.0,Rekomendasi deh,True,none,completed,positive
ORD-2024-000008,2024-01-06 17:07:59,Mie,18500,0.59,12,3.0,Lumayan,True,low,completed,neutral
ORD-2024-000009,2024-03-11 13:36:12,Martabak,37500,1.18,17,4.0,Top bgt kualitasnya,False,none,cancelled,positive
ORD-2024-000010,2024-01-06 09:05:54,Martabak,38500,2.34,12,5.0,Top bgt kualitasnya,False,none,cancelled,positive
ORD-2024-000011,2024-01-13 20:40:53,Ayam,32500,0.56,33,4.0,Akan order lg nih,False,none,completed,positive
ORD-2024-000012,2024-02-17 19:44:59,Mie,20000,0.50,19,5.0,Top bgt kualitasnya,True,low,completed,positive
ORD-2024-000014,2024-02-29 21:14:43,Ayam,49000,6.02,21,3.0,Standar lah,False,low,completed,neutral
ORD-2024-000015,2024-01-08 11:51:20,Ayam,14500,0.50,13,4.0,Wow enak bgt,True,none,completed,positive
ORD-2024-000016,2024-01-09 13:13:41,Ayam,28000,1.68,22,4.0,Makasih ya,False,low,completed,positive
ORD-2024-000017,2024-03-23 19:08:15,Ayam,47500,4.31,45,4.0,Akan order lg nih,False,none,completed,positive
ORD-2024-000018,2024-03-09 14:57:37,Kopi,11500,9.18,46,3.0,Gapapa,False,low,completed,neutral
ORD-2024-000019,2024-01-29 04:32:31,Kopi,14500,12.70,46,1.0,Kecewa bgt,False,high,refund,negative
ORD-2024-000020,2024-01-07 04:40:10,Ayam,52000,1.64,7,5.0,Puas bgt,False,none,completed,positive
ORD-2024-000021,24/02/2024 20:24,Martabak,41000,9.01,48,3.0,Standar lah,True,high,completed,neutral
ORD-2024-000023,2024-03-09 20:21:07,Ayam,69500,4.11,10,5.0,Makasih ya,False,none,cancelled,positive
ORD-2024-000024,2024-01-21 19:32:48,Kopi,22500,3.09,24,4.0,Mantap gan!,False,none,completed,positive
ORD-2024-000025,2024-01-14 09:53:40,Kopi,22500,0.86,5,5.0,Sesuai pesanan,True,low,completed,positive
ORD-2024-000026,26/01/2024 12:34,Martabak,32000,2.12,7,4.0,Top bgt kualitasnya,False,none,completed,positive
ORD-2024-000027,01/01/2024 20:01,Ayam,18500,,30,4.0,Enak bgttt,False,none,completed,positive
ORD-2024-000029,2024-01-11 02:48:34,Kopi,21000,1.33,9,5.0,Enak bgt!!!!!!,False,none,completed,positive
ORD-2024-000030,2024-01-17 17:10:16,Ayam,50000,2.95,21,3.0,Lumayan,False,low,cancelled,neutral
ORD-2024-000031,2024-03-18 18:59:34,Martabak,43000,0.52,11,5.0,Puas bgt,False,none,completed,positive
ORD-2024-000032,2024-03-29 13:25:42,Ayam,66000,0.69,5,4.0,Cepat sampai,False,none,completed,positive
ORD-2024-000033,2024-02-26 14:07:15,Ayam,6869500,14.47,59,3.0,Standar lah,False,low,completed,neutral
ORD-2024-000034,2024-02-13 12:37:14,Mie,18500,4.20,35,5.0,Wow enak bgt,False,low,completed,positive
ORD-2024-000036,2024-01-10 19:42:31,Mie,36000,1.05,20,3.0,Standar lah,True,none,completed,neutral
ORD-2024-000037,2024-01-17 18:36:30,Ayam,52500,0.54,9,5.0,Akan order lg nih,False,none,completed,positive
