tone,situation,rating_range,sentiment,template_text
professional,positive_general,"4-5",positive,"Thank you for your wonderful review! We are delighted to hear that you had a great experience with us. Your feedback motivates our team to continue delivering the high standard of service we take pride in. We look forward to welcoming you again."
professional,positive_food,"4-5",positive,"We are so pleased to hear that you enjoyed your dining experience with us. Our culinary team works hard to deliver quality and flavor in every dish, and your kind words mean a great deal to them. We hope to see you again soon."
professional,positive_service,"4-5",positive,"Thank you for recognizing our team's efforts! Exceptional service is at the core of what we do, and hearing that it made a difference to your experience is truly rewarding. We look forward to your next visit."
professional,neutral_general,"3-3",neutral,"Thank you for taking the time to share your feedback. We appreciate your honest assessment and are always looking for ways to improve. We hope to have the opportunity to exceed your expectations on your next visit."
professional,negative_general,"1-2",negative,"We sincerely apologize that your experience did not meet our standards. Your feedback is invaluable and we are taking immediate action to address the issues you raised. We would welcome the opportunity to make this right for you."
professional,negative_wait,"1-2",negative,"We apologize for the unacceptable wait time you experienced. We understand your time is valuable and we clearly failed to meet reasonable expectations. We are reviewing our operations to prevent this from happening again."
professional,negative_service,"1-2",negative,"We are deeply sorry for the level of service you received. This does not reflect our values or the standards we set for our team. We are addressing this matter directly and would appreciate the chance to restore your confidence in us."
professional,negative_food,"1-2",negative,"We are sorry to hear that the food did not meet your expectations. Quality is our highest priority and we take this feedback very seriously. Our kitchen team will be reviewing this and we would like to invite you back to experience our best."
friendly,positive_general,"4-5",positive,"Wow, thank you so much for the amazing review! 😊 This really made our day! We love what we do, and hearing that it showed makes it all worthwhile. Can't wait to see you again!"
friendly,positive_food,"4-5",positive,"So happy you loved the food! 😍 Our team puts so much love into every dish, and knowing you tasted that makes it all worth it. Come back soon — there's always something new on the menu to try!"
friendly,positive_service,"4-5",positive,"This is SO lovely to hear! 🙏 Our team will be over the moon when I share this with them. Making you feel welcome is our absolute favorite thing to do. See you next time!"
friendly,positive_family,"4-5",positive,"Yay! We love having families here! 🎉 Knowing the kids had a blast and you got to relax is exactly what we aim for. Hope to see you all again soon for another wonderful visit!"
friendly,neutral_general,"3-3",neutral,"Hey, thanks so much for the honest feedback! We're always trying to get better and your input really helps. Hope you'll give us another shot soon — we'd love to impress you next time! 😊"
friendly,negative_apologetic,"1-2",negative,"Oh no, we're so sorry to hear this! 😔 That's definitely not the experience we want you to have and we feel terrible about it. Please reach out to us — we really want to make it right and turn this around for you."
friendly,negative_food,"1-2",negative,"We are really sorry the food missed the mark for you. 😢 That's so not what we want! Our team is going to take a hard look at this. Please give us another chance to show you what we're really capable of!"
formal,positive_general,"4-5",positive,"Dear Guest, we are honored by your gracious review and highly appreciate the time you have taken to share your experience. Your satisfaction is our foremost priority, and we are pleased to know we have met your expectations. We look forward to the privilege of welcoming you again."
formal,positive_luxury,"4-5",positive,"Dear Guest, we are deeply grateful for your generous review. Our team is dedicated to the highest standards of service and excellence, and your acknowledgment of these efforts is both humbling and inspiring. We look forward to exceeding your expectations once more."
formal,neutral_general,"3-3",neutral,"Dear Guest, we would like to thank you for your detailed and candid feedback. We take all guest observations seriously as they guide our continuous improvement efforts. We sincerely hope to have the opportunity to provide you with a more exceptional experience in the future."
formal,negative_general,"1-2",negative,"Dear Guest, we sincerely and unreservedly apologize for the experience you have described. We hold ourselves to the highest standards and it is clear we have failed to meet them on this occasion. We would respectfully request the opportunity to speak with you directly to address this matter comprehensively."
formal,negative_cleanliness,"1-2",negative,"Dear Guest, we are mortified by your account of the cleanliness standards in your room. Hygiene and immaculate presentation are foundational to our operation, and we have failed you. We have launched an immediate investigation and are taking corrective action at the highest level of management."
formal,negative_safety,"1-2",negative,"Dear Guest, we take your report with the utmost gravity and sincerity apologize for any safety or hygiene concern you experienced. The wellbeing of our guests is our paramount concern and we are conducting a thorough review. We respectfully ask you to contact us directly so we may address this with the seriousness it deserves."
apologetic,negative_general,"1-2",negative,"We are so sorry to hear about your experience. Please know that what you described is genuinely not acceptable, and we take full responsibility. We understand your disappointment and would deeply appreciate the opportunity to make this right."
apologetic,negative_wait,"1-2",negative,"Please accept our sincere apologies for the unacceptable wait time you experienced. We understand how frustrating this must have been, and we are sorry we did not manage the situation better. We are actively reviewing our processes to prevent a recurrence."
apologetic,negative_food,"1-2",negative,"We are truly sorry that the food did not meet your expectations on this visit. This falls short of the standard we hold ourselves to, and we are genuinely disappointed to have let you down. We would love the chance to restore your faith in us."
apologetic,negative_service,"1-2",negative,"We are deeply sorry for how our team treated you. You deserved to be made to feel welcome and valued, and we failed on that front. We are taking this feedback directly to our team and would like nothing more than the opportunity to show you what genuine hospitality looks like."
apologetic,negative_order,"1-2",negative,"We sincerely apologize for getting your order wrong. This is a basic process we must get right every time, and we clearly let you down. Please reach out to us and we will make sure you are fully compensated for this error."
empathetic,negative_general,"1-2",negative,"We hear you, and we are truly sorry. Reading about your experience genuinely saddened us because this is not who we are or how we want any guest to feel. Your experience matters to us deeply, and we would love the chance to turn this around."
empathetic,negative_special_occasion,"1-2",negative,"We understand how much this occasion meant to you, and we are heartbroken that we didn't deliver the experience you deserved. Special moments are precious and irreplaceable, and we feel the weight of having disappointed you. Please reach out — we want to do everything in our power to make this right."
empathetic,neutral_general,"3-3",neutral,"Thank you for sharing this with us — both the positives and the areas where we fell short. We take all feedback to heart because we genuinely care about every guest's experience. We hope you'll come back and give us a chance to do better."
empathetic,positive_testimonial,"4-5",positive,"Reading your review genuinely made our team emotional in the best way. Thank you for taking the time to share these kind words — knowing we played even a small part in a wonderful memory for you is why we do what we do every day."
