review_id,platform,hotel_name,hotel_category,rating,review_text,sentiment,topics
H001,google,Grand Central Hotel,luxury,5,"Absolutely stunning hotel. The room was immaculate, the bed was the most comfortable I've ever slept in, and the breakfast buffet was outstanding. The concierge helped us plan our entire trip.",positive,"room_quality,food,service"
H002,tripadvisor,Grand Central Hotel,luxury,2,"For the price we paid, I expected much more. The room had a musty smell, the air conditioning barely worked, and getting towels took 45 minutes. Not worth the premium.",negative,"room_quality,cleanliness,service"
H003,google,Budget Stay Inn,budget,4,"Great value for money! Clean room, comfortable bed, and the location is perfect for exploring the city. Staff were friendly and helpful.",positive,"room_quality,cleanliness,service,location"
H004,tripadvisor,Budget Stay Inn,budget,2,"The photos are very misleading. Room was tiny and smelled of cigarettes despite being a non-smoking room. The shower had no hot water.",negative,"room_quality,cleanliness"
H005,google,Seaside Resort & Spa,resort,5,"A true paradise! The spa was world-class, the pool overlooking the ocean was breathtaking, and the staff went above and beyond to make our honeymoon special.",positive,"service,amenities,ambiance"
H006,tripadvisor,Seaside Resort & Spa,resort,3,"Beautiful property but the resort fees are outrageous. $45/day for amenities we barely used. Food at the on-site restaurant was just average.",neutral,"pricing,food,amenities"
H007,google,Downtown Business Hotel,business,5,"Perfect for business travel. Fast WiFi, excellent conference facilities, and the 24-hour room service saved me many times. Will book again.",positive,"amenities,service,room_quality"
H008,tripadvisor,Downtown Business Hotel,business,1,"The WiFi kept disconnecting during my important video calls. When I reported it, nothing was fixed. Unacceptable for a business hotel.",negative,"amenities,service"
H009,google,Historic Manor Hotel,boutique,5,"What a gem! Staying in a 19th century manor house was magical. Every room is unique, the gardens are gorgeous, and afternoon tea was delightful.",positive,"ambiance,food,room_quality"
H010,tripadvisor,Historic Manor Hotel,boutique,4,"Charming hotel with lots of character. The rooms could use some modernization (no USB outlets) but the overall experience was lovely.",positive,"room_quality,ambiance"
H011,google,Airport Express Hotel,transit,4,"Great for an overnight airport stay. Shuttle was on time, check-in was quick, room was clean and quiet despite being near the runway.",positive,"service,room_quality,amenities"
H012,tripadvisor,Airport Express Hotel,transit,2,"Asked for a wake-up call for my 5am flight - it never came. Had to rush and almost missed my flight. Completely unreliable.",negative,"service"
H013,google,Mountain View Lodge,resort,5,"Woke up to stunning mountain views every morning. The hiking trails accessible from the lodge were incredible. Fireplace in the room was so cozy.",positive,"ambiance,room_quality,amenities"
H014,tripadvisor,Mountain View Lodge,resort,3,"Nice scenery but the lodge itself is dated and overpriced. Limited dining options and the meals were uninspiring.",neutral,"food,pricing,amenities"
H015,google,The City Suites,extended_stay,5,"Stayed for 3 weeks for work and it felt like home. Full kitchen in the suite, weekly housekeeping, and the staff treated me like family by the end.",positive,"room_quality,service,amenities"
H016,tripadvisor,The City Suites,extended_stay,4,"Good for longer stays. The fully equipped kitchen is a huge plus. The gym equipment is a bit dated but functional.",positive,"amenities,room_quality"
H017,google,Oceanfront Paradise,resort,5,"Every morning felt like a dream. Woke up to the sound of waves, strolled to the beach, and came back to impeccable service. The kids loved the water park.",positive,"ambiance,service,amenities"
H018,tripadvisor,Oceanfront Paradise,resort,2,"Beach access is blocked during renovation and nobody mentioned this when we booked. The pool was overcrowded. Very disappointed.",negative,"amenities,service"
H019,google,Heritage Inn,boutique,5,"Beautifully restored Victorian inn. The owner is incredibly welcoming and the homemade breakfast was extraordinary. A truly personal experience.",positive,"ambiance,food,service"
H020,tripadvisor,Heritage Inn,boutique,3,"Nice character but the stairs are steep and there's no elevator. For elderly guests or those with luggage, this can be challenging.",neutral,"amenities,room_quality"
H021,google,Urban Hostel Hub,hostel,5,"Best hostel I've ever stayed in! Incredibly clean dormitories, a vibrant common area, and so easy to meet fellow travelers. Great value!",positive,"cleanliness,amenities,ambiance"
H022,tripadvisor,Urban Hostel Hub,hostel,2,"The lockers in the dorm were broken so I couldn't secure my belongings. Felt unsafe. Also, the bathrooms were consistently dirty.",negative,"cleanliness,amenities"
H023,google,Pinnacle Sky Hotel,luxury,5,"The rooftop pool and bar are absolutely stunning. Rooms have floor-to-ceiling windows with city views. The butler service is exceptional.",positive,"amenities,service,ambiance,room_quality"
H024,tripadvisor,Pinnacle Sky Hotel,luxury,3,"Beautiful hotel but the noise from the rooftop bar carries to the upper floors until 2am. Not great when you have early meetings.",negative,"ambiance,room_quality"
H025,google,Family Fun Resort,family,5,"Excellent family resort! Kids loved the splash park and the supervised kids club gave us adults some alone time. The family rooms were spacious.",positive,"amenities,room_quality,service"
H026,tripadvisor,Family Fun Resort,family,4,"Great for families but gets very crowded during school holidays. Book well in advance. The staff are wonderful with children.",positive,"service,amenities"
H027,google,Eco Lodge Retreat,eco,5,"Sustainable tourism done right! Solar-powered, locally sourced meals, wildlife tours every morning. Guilt-free luxury in nature.",positive,"amenities,food,ambiance"
H028,tripadvisor,Eco Lodge Retreat,eco,4,"Unique eco experience. No air conditioning (by design) which took getting used to. The natural pool was refreshing.",positive,"amenities,ambiance"
H029,google,Central Park Hotel,midscale,3,"Average hotel in a great location. Nothing special but all the basics are covered. Decent breakfast included in the rate.",neutral,"location,food,room_quality"
H030,tripadvisor,Central Park Hotel,midscale,2,"Room hadn't been properly cleaned before check-in. Hair in the bathroom, crumbs in the bed. Front desk was unapologetic.",negative,"cleanliness,service"
H031,google,Grandview Towers,luxury,5,"Without doubt the most luxurious stay of my life. From the golden doorman to the pillow menu, every detail is perfect. Worth every penny.",positive,"service,room_quality,amenities"
H032,tripadvisor,Grandview Towers,luxury,4,"Outstanding hotel. The only minor issue was that our room wasn't ready until 4pm despite a 3pm check-in time. Everything else was flawless.",positive,"service,room_quality"
H033,google,Sunny Side B&B,bed_and_breakfast,5,"The most heartwarming accommodation we've ever experienced. Mary the host made us feel like family, and her breakfasts are legendary.",positive,"food,service,ambiance"
H034,tripadvisor,Sunny Side B&B,bed_and_breakfast,5,"A hidden gem! Fresh flowers in the room, homemade jam at breakfast, and helpful tips from the hosts made our trip unforgettable.",positive,"food,service,ambiance"
H035,google,Metro Capsule Hotel,capsule,4,"Such a cool concept! Private pod with everything you need. Immaculately clean and surprisingly comfortable. Great for solo travelers.",positive,"room_quality,cleanliness"
H036,tripadvisor,Metro Capsule Hotel,capsule,3,"Novel experience but claustrophobic if you're not used to small spaces. Storage is minimal. Good for one night.",neutral,"room_quality,amenities"
H037,google,The Grand Spa Hotel,spa,5,"Came for the spa, stayed for the exceptional food and service. Three days of pure bliss. The hydrotherapy circuit changed my life.",positive,"amenities,food,service"
H038,tripadvisor,The Grand Spa Hotel,spa,3,"Spa is excellent but the hotel itself is showing its age. Rooms could use renovation. Stiff price for what you get outside the spa.",neutral,"amenities,room_quality,pricing"
H039,google,Lakeview Cottages,resort,5,"Our cottage was perfect - private dock, fire pit, kayaks included. Completely disconnected from the world in the best possible way.",positive,"room_quality,amenities,ambiance"
H040,tripadvisor,Lakeview Cottages,resort,2,"The 'lake view' cottage doesn't actually have a lake view - it's blocked by trees. Misleading description. Management not helpful.",negative,"service,ambiance"
H041,google,Budget Central Motel,budget,3,"It's what you'd expect from a budget motel. Clean enough, bed was fine, parking was free. Don't expect anything fancy.",neutral,"room_quality,cleanliness,amenities"
H042,tripadvisor,Budget Central Motel,budget,1,"Found cockroaches in the bathroom. Reported to management who were dismissive. This is a health hazard. Avoid!",negative,"cleanliness,service,hygiene"
H043,google,Skyline Boutique Hotel,boutique,5,"Curated art in every room, a cocktail bar with craft drinks, and an outstanding restaurant. This hotel is an experience.",positive,"ambiance,food,service,room_quality"
H044,tripadvisor,Skyline Boutique Hotel,boutique,4,"Loved the design and concept. The restaurant is phenomenal. The rooms on the lower floors can be noisy from the bar below.",positive,"food,ambiance,room_quality"
H045,google,Harbor Haven Hotel,midscale,4,"Excellent harbor views and comfortable rooms. The on-site seafood restaurant was a highlight. Staff were professional and helpful.",positive,"ambiance,food,service,room_quality"
H046,tripadvisor,Harbor Haven Hotel,midscale,3,"Good location and the view is nice. Rooms are dated and the WiFi is unreliable. Average for the price.",neutral,"room_quality,amenities,pricing"
H047,google,Wellness Retreat,spa,5,"A transformative experience. The wellness programs, mindful meals, and daily yoga completely recharged me. Staff are knowledgeable and caring.",positive,"amenities,food,service"
H048,tripadvisor,Wellness Retreat,spa,4,"Great programs and healthy food. The accommodation itself is simple which is fine given the focus on wellness. Very peaceful.",positive,"amenities,food,ambiance"
H049,google,The Historic Grand,luxury,5,"Walking into this hotel is like stepping back into the golden age of travel. Magnificent architecture, impeccable service, and rooms that feel like suites in a palace.",positive,"ambiance,service,room_quality"
