pair_id,business_type,platform,rating,sentiment,topics,review_text,response_text,tone
P001,restaurant,google,5,positive,"food,service","Absolutely amazing experience! The steak was cooked to perfection and the staff were incredibly attentive. Will definitely come back!","Thank you so much for your wonderful review! We're thrilled to hear that your steak was cooked to perfection and that our team made you feel so welcome. We look forward to welcoming you back and making your next visit just as memorable!",professional
P002,restaurant,yelp,1,negative,"food,service,wait_time","Waited over an hour for our food. When it finally arrived, the pasta was cold and bland. Very disappointing for the price.","We sincerely apologize for your experience and deeply regret the unacceptably long wait time and the quality of the pasta you received. This is not the standard we hold ourselves to, and we understand how frustrating this must have been. We would love the opportunity to make this right — please reach out to us directly so we can personally address this.",apologetic
P003,cafe,google,5,positive,"food,service,ambiance","Best coffee in town! The barista remembered my order from last week. Cozy atmosphere and great pastries.","What a lovely compliment — thank you so much! 😊 We're so happy our team made you feel like a regular, and that our coffee and pastries hit the spot. We can't wait to see you again soon!",friendly
P004,cafe,yelp,1,negative,"food,service","The coffee was lukewarm and the croissant was stale. Staff seemed uninterested in helping. Won't be returning.","We are very sorry to hear about your experience, and we take this feedback very seriously. Lukewarm coffee and stale pastries are absolutely not acceptable standards for our cafe. We would like to invite you back for a complimentary visit so we can demonstrate the quality you deserve. Please contact us directly.",apologetic
P005,restaurant,google,4,positive,"food,service","Really good authentic Italian food. The carbonara was rich and creamy. Service was a little slow but the food made up for it.","We're delighted you enjoyed our carbonara — it's one of our most cherished recipes! We appreciate your honest feedback regarding the service pace and are continuously working to improve our efficiency. Thank you for dining with us and we hope to see you again soon.",professional
P006,restaurant,google,2,negative,"service,cleanliness","The table was sticky and the server seemed annoyed when we asked for extra napkins. Food was okay but the experience left a lot to be desired.","We sincerely apologize for the cleanliness issue and the service quality you experienced. Every guest deserves to feel welcomed and comfortable, and we clearly fell short of that. We're addressing this with our team immediately. We hope you'll consider giving us another chance to impress you.",apologetic
P007,hotel,google,5,positive,"room_quality,service","Absolutely stunning hotel. The room was immaculate and the concierge helped us plan our entire trip.","Thank you for this glowing review! We're overjoyed to hear your room exceeded expectations and that our concierge team could help craft your perfect itinerary. Providing exceptional, personalized service is what we strive for every day. We look forward to welcoming you back!",professional
P008,hotel,tripadvisor,1,negative,"cleanliness,service","For the price we paid, I expected much more. The room had a musty smell and getting towels took 45 minutes.","Dear Guest, we are mortified to read about your experience and sincerely apologize. A musty room and a 45-minute wait for towels are completely unacceptable at our property. We are immediately reviewing our housekeeping and service response protocols. We would very much appreciate the opportunity to speak with you directly to make this right.",formal
P009,restaurant,yelp,5,positive,"food,ambiance","The curry here is the best I've ever had! Authentic flavors and generous portions. The staff explained every dish perfectly.","We are so happy to have shared our authentic flavors with you! Our team takes great pride in explaining the story behind each dish. Thank you for this incredible review — it means the world to us. Please come back again and try our seasonal specials!",friendly
P010,hotel,tripadvisor,3,neutral,"pricing,amenities","Beautiful property but the resort fees are outrageous. $45/day for amenities we barely used.","Thank you for your candid feedback regarding our resort fee structure. We understand this can be frustrating, and we are actively reviewing how we communicate the value of these amenities to our guests. We appreciate you sharing your perspective and hope to welcome you back under improved circumstances.",professional
P011,fastfood,google,5,positive,"food","Hands down the best burger joint in the city. The double smash burger is life-changing. Always fresh and hot.","We love hearing this! 🍔 The double smash burger is our pride and joy and we're thrilled it's become your go-to! Thank you for the amazing shoutout — we'll keep serving them fresh and hot just for you!",friendly
